date,station,rr
2018-06-05,AWS Pasaman Barat,0.0
2018-06-06,AWS Pasaman Barat,7.6
2018-06-07,AWS Pasaman Barat,5.0
2018-06-08,AWS Pasaman Barat,0.0
2018-06-09,AWS Pasaman Barat,0.0
2018-06-10,AWS Pasaman Barat,0.0
2018-06-11,AWS Pasaman Barat,0.0
2018-06-12,AWS Pasaman Barat,0.0
2018-06-13,AWS Pasaman Barat,44.4
2018-06-14,AWS Pasaman Barat,23.4
2018-06-15,AWS Pasaman Barat,0.2
2018-06-16,AWS Pasaman Barat,0.0
2018-06-17,AWS Pasaman Barat,0.0
2018-06-18,AWS Pasaman Barat,3.6
2018-06-19,AWS Pasaman Barat,0.0
2018-06-20,AWS Pasaman Barat,0.0
2018-06-21,AWS Pasaman Barat,10.4
2018-06-22,AWS Pasaman Barat,60.79999999999999
2018-06-23,AWS Pasaman Barat,36.4
2018-06-24,AWS Pasaman Barat,2.2000000000000006
2018-06-25,AWS Pasaman Barat,2.4
2018-06-26,AWS Pasaman Barat,4.800000000000001
2018-06-27,AWS Pasaman Barat,0.0
2018-06-28,AWS Pasaman Barat,0.8000000000000002
2018-06-29,AWS Pasaman Barat,4.4
2018-06-30,AWS Pasaman Barat,1.8
2018-07-01,AWS Pasaman Barat,0.0
2018-07-02,AWS Pasaman Barat,0.2
2018-07-03,AWS Pasaman Barat,8.000000000000002
2018-07-04,AWS Pasaman Barat,6.799999999999999
2018-07-05,AWS Pasaman Barat,0.4
2018-07-06,AWS Pasaman Barat,0.0
2018-07-07,AWS Pasaman Barat,27.6
2018-07-08,AWS Pasaman Barat,28.399999999999995
2018-07-09,AWS Pasaman Barat,24.399999999999995
2018-07-10,AWS Pasaman Barat,7.6000000000000005
2018-07-11,AWS Pasaman Barat,0.0
2018-07-12,AWS Pasaman Barat,0.0
2018-07-13,AWS Pasaman Barat,9.4
2018-07-14,AWS Pasaman Barat,26.6
2018-07-15,AWS Pasaman Barat,0.2
2018-07-16,AWS Pasaman Barat,0.0
2018-07-17,AWS Pasaman Barat,13.4
2018-07-18,AWS Pasaman Barat,7.0
2018-07-19,AWS Pasaman Barat,25.6
2018-07-20,AWS Pasaman Barat,0.6000000000000001
2018-07-21,AWS Pasaman Barat,0.2
2018-07-22,AWS Pasaman Barat,0.0
2018-07-23,AWS Pasaman Barat,0.0
2018-07-24,AWS Pasaman Barat,0.8000000000000002
2018-07-25,AWS Pasaman Barat,14.200000000000001
2018-07-26,AWS Pasaman Barat,7.800000000000001
2018-07-27,AWS Pasaman Barat,9.200000000000001
2018-07-28,AWS Pasaman Barat,32.8
