date,station,rr
2015-10-08,ARG SMPK Tanah Datar,0.2
2015-10-09,ARG SMPK Tanah Datar,0.0
2015-10-10,ARG SMPK Tanah Datar,0.0
2015-10-11,ARG SMPK Tanah Datar,0.0
2015-10-12,ARG SMPK Tanah Datar,0.0
2015-10-13,ARG SMPK Tanah Datar,16.6
2015-10-14,ARG SMPK Tanah Datar,0.5999999999999985
2015-10-15,ARG SMPK Tanah Datar,24.800000000000004
2015-10-16,ARG SMPK Tanah Datar,0.4
2015-10-17,ARG SMPK Tanah Datar,0.0
2015-10-18,ARG SMPK Tanah Datar,0.0
2015-10-19,ARG SMPK Tanah Datar,0.0
2015-10-20,ARG SMPK Tanah Datar,0.0
2015-10-21,ARG SMPK Tanah Datar,0.0
2015-10-22,ARG SMPK Tanah Datar,0.0
2015-10-23,ARG SMPK Tanah Datar,0.0
2015-10-24,ARG SMPK Tanah Datar,0.0
2015-10-25,ARG SMPK Tanah Datar,0.0
2015-10-26,ARG SMPK Tanah Datar,0.0
2015-10-27,ARG SMPK Tanah Datar,0.2000000000000002
2015-10-28,ARG SMPK Tanah Datar,0.0
2015-10-29,ARG SMPK Tanah Datar,0.0
2015-10-30,ARG SMPK Tanah Datar,26.8
2015-10-31,ARG SMPK Tanah Datar,0.2
2015-11-01,ARG SMPK Tanah Datar,10.2
2015-11-02,ARG SMPK Tanah Datar,0.2
2015-11-03,ARG SMPK Tanah Datar,8.200000000000003
2015-11-04,ARG SMPK Tanah Datar,0.0
2015-11-05,ARG SMPK Tanah Datar,0.0
2015-11-06,ARG SMPK Tanah Datar,0.0
2015-11-07,ARG SMPK Tanah Datar,19.8
2015-11-08,ARG SMPK Tanah Datar,6.4
2015-11-09,ARG SMPK Tanah Datar,1.2
2015-11-10,ARG SMPK Tanah Datar,4.2
2015-11-11,ARG SMPK Tanah Datar,4.0
2015-11-12,ARG SMPK Tanah Datar,6.000000000000001
2015-11-13,ARG SMPK Tanah Datar,25.4
2015-11-14,ARG SMPK Tanah Datar,6.400000000000001
2015-11-15,ARG SMPK Tanah Datar,9.400000000000002
2015-11-16,ARG SMPK Tanah Datar,8.000000000000002
2015-11-17,ARG SMPK Tanah Datar,0.2
2015-11-18,ARG SMPK Tanah Datar,12.8
2015-11-19,ARG SMPK Tanah Datar,0.2
2015-11-20,ARG SMPK Tanah Datar,0.1999999999999993
2015-11-21,ARG SMPK Tanah Datar,1.1999999999999955
2015-11-22,ARG SMPK Tanah Datar,12.8
2015-11-23,ARG SMPK Tanah Datar,9.6
2015-11-24,ARG SMPK Tanah Datar,33.199999999999996
2015-11-25,ARG SMPK Tanah Datar,4.6
2015-11-26,ARG SMPK Tanah Datar,3.4000000000000004
2015-11-27,ARG SMPK Tanah Datar,7.199999999999999
2015-11-28,ARG SMPK Tanah Datar,25.6
2015-11-29,ARG SMPK Tanah Datar,9.0
2015-11-30,ARG SMPK Tanah Datar,0.2
2015-12-01,ARG SMPK Tanah Datar,0.0
2015-12-02,ARG SMPK Tanah Datar,0.0
2015-12-03,ARG SMPK Tanah Datar,0.0
2015-12-04,ARG SMPK Tanah Datar,24.799999999999997
2015-12-05,ARG SMPK Tanah Datar,0.4
2015-12-06,ARG SMPK Tanah Datar,27.200000000000003
2015-12-07,ARG SMPK Tanah Datar,12.400000000000004
2015-12-08,ARG SMPK Tanah Datar,0.2
2015-12-09,ARG SMPK Tanah Datar,0.8000000000000002
2015-12-10,ARG SMPK Tanah Datar,35.8
2015-12-11,ARG SMPK Tanah Datar,3.7999999999999994
2015-12-12,ARG SMPK Tanah Datar,5.8
2015-12-13,ARG SMPK Tanah Datar,29.0
2015-12-14,ARG SMPK Tanah Datar,0.0
2015-12-15,ARG SMPK Tanah Datar,1.0000000000000002
