date,station,rr
2018-04-19,ARG Solok Selatan,41.8
2018-04-20,ARG Solok Selatan,0.2000000000000028
2018-04-21,ARG Solok Selatan,31.200000000000003
2018-04-22,ARG Solok Selatan,4.0
2018-04-23,ARG Solok Selatan,38.4
2018-04-24,ARG Solok Selatan,24.199999999999996
2018-04-25,ARG Solok Selatan,0.0
2018-04-26,ARG Solok Selatan,5.0
2018-04-27,ARG Solok Selatan,0.0
2018-04-28,ARG Solok Selatan,0.0
2018-04-29,ARG Solok Selatan,6.0
2018-04-30,ARG Solok Selatan,0.6000000000000001
2018-05-01,ARG Solok Selatan,1.6000000000000003
2018-05-02,ARG Solok Selatan,9.6
2018-05-03,ARG Solok Selatan,39.6
2018-05-04,ARG Solok Selatan,10.2
2018-05-05,ARG Solok Selatan,23.4
2018-05-06,ARG Solok Selatan,23.6
2018-05-07,ARG Solok Selatan,12.8
2018-05-08,ARG Solok Selatan,0.0
2018-05-09,ARG Solok Selatan,0.0
2018-05-10,ARG Solok Selatan,9.8
2018-05-11,ARG Solok Selatan,4.0
2018-05-12,ARG Solok Selatan,16.8
2018-05-13,ARG Solok Selatan,2.4
2018-05-14,ARG Solok Selatan,0.2
2018-05-15,ARG Solok Selatan,7.6
2018-05-16,ARG Solok Selatan,0.4
2018-05-17,ARG Solok Selatan,0.2
2018-05-18,ARG Solok Selatan,15.0
2018-05-19,ARG Solok Selatan,42.4
2018-05-20,ARG Solok Selatan,13.2
2018-05-21,ARG Solok Selatan,5.400000000000001
2018-05-22,ARG Solok Selatan,5.6000000000000005
2018-05-23,ARG Solok Selatan,58.800000000000004
2018-05-24,ARG Solok Selatan,6.000000000000001
2018-05-25,ARG Solok Selatan,12.2
2018-05-26,ARG Solok Selatan,1.6000000000000003
2018-05-27,ARG Solok Selatan,20.0
2018-05-28,ARG Solok Selatan,0.4
2018-05-29,ARG Solok Selatan,23.2
2018-05-30,ARG Solok Selatan,0.2
2018-05-31,ARG Solok Selatan,1.8000000000000003
2018-06-01,ARG Solok Selatan,1.8000000000000003
2018-06-02,ARG Solok Selatan,0.0
2018-06-03,ARG Solok Selatan,0.8000000000000002
2018-06-04,ARG Solok Selatan,50.0
2018-06-05,ARG Solok Selatan,5.6
2018-06-06,ARG Solok Selatan,0.6000000000000001
2018-06-07,ARG Solok Selatan,1.4000000000000001
2018-06-08,ARG Solok Selatan,0.0
2018-06-09,ARG Solok Selatan,0.0
2018-06-10,ARG Solok Selatan,13.800000000000002
2018-06-11,ARG Solok Selatan,0.2
2018-06-12,ARG Solok Selatan,7.6000000000000005
2018-06-13,ARG Solok Selatan,0.0
2018-06-14,ARG Solok Selatan,37.4
2018-06-15,ARG Solok Selatan,0.0
2018-06-16,ARG Solok Selatan,14.4
2018-06-17,ARG Solok Selatan,31.599999999999998
2018-06-18,ARG Solok Selatan,28.599999999999998
2018-06-19,ARG Solok Selatan,0.0
2018-06-20,ARG Solok Selatan,2.4
2018-06-21,ARG Solok Selatan,12.0
2018-06-22,ARG Solok Selatan,0.0
2018-06-23,ARG Solok Selatan,13.2
2018-06-24,ARG Solok Selatan,0.0
2018-06-25,ARG Solok Selatan,12.8
2018-06-26,ARG Solok Selatan,6.8
2018-06-27,ARG Solok Selatan,2.0
2018-06-28,ARG Solok Selatan,12.0
2018-06-29,ARG Solok Selatan,26.4
2018-06-30,ARG Solok Selatan,38.2
2018-07-01,ARG Solok Selatan,15.4
2018-07-02,ARG Solok Selatan,36.0
2018-07-03,ARG Solok Selatan,0.0
2018-07-04,ARG Solok Selatan,0.0
2018-07-05,ARG Solok Selatan,23.4
2018-07-06,ARG Solok Selatan,0.0
2018-07-07,ARG Solok Selatan,0.6000000000000001
2018-07-08,ARG Solok Selatan,0.4
2018-07-09,ARG Solok Selatan,39.0
2018-07-10,ARG Solok Selatan,4.600000000000001
2018-07-11,ARG Solok Selatan,0.2
2018-07-12,ARG Solok Selatan,4.6
2018-07-13,ARG Solok Selatan,0.0
2018-07-14,ARG Solok Selatan,0.0
2018-07-15,ARG Solok Selatan,0.0
2018-07-16,ARG Solok Selatan,0.0
2018-07-17,ARG Solok Selatan,0.0
2018-07-18,ARG Solok Selatan,0.0
2018-07-19,ARG Solok Selatan,0.0
2018-07-20,ARG Solok Selatan,6.8
2018-07-21,ARG Solok Selatan,0.0
2018-07-22,ARG Solok Selatan,0.0
2018-07-23,ARG Solok Selatan,15.4
2018-07-24,ARG Solok Selatan,5.800000000000001
2018-07-25,ARG Solok Selatan,1.2000000000000002
2018-07-26,ARG Solok Selatan,5.6
2018-07-27,ARG Solok Selatan,2.6000000000000005
2018-07-28,ARG Solok Selatan,39.2
2018-07-29,ARG Solok Selatan,0.0
2018-07-30,ARG Solok Selatan,0.0
2018-07-31,ARG Solok Selatan,0.0
2018-08-01,ARG Solok Selatan,0.2
2018-08-02,ARG Solok Selatan,0.2
2018-08-03,ARG Solok Selatan,0.0
2018-08-04,ARG Solok Selatan,0.8000000000000056
2018-08-05,ARG Solok Selatan,0.0
2018-08-06,ARG Solok Selatan,0.0
2018-08-07,ARG Solok Selatan,0.2
2018-08-08,ARG Solok Selatan,0.0
2018-08-09,ARG Solok Selatan,0.0
2018-08-10,ARG Solok Selatan,0.0
2018-08-11,ARG Solok Selatan,0.0
2018-08-12,ARG Solok Selatan,0.0
2018-08-13,ARG Solok Selatan,0.0
2018-08-14,ARG Solok Selatan,0.0
2018-08-15,ARG Solok Selatan,0.0
2018-08-16,ARG Solok Selatan,0.0
2018-08-17,ARG Solok Selatan,0.0
2018-08-18,ARG Solok Selatan,0.0
2018-08-19,ARG Solok Selatan,0.0
2018-08-20,ARG Solok Selatan,0.0
2018-08-21,ARG Solok Selatan,0.0
2018-08-22,ARG Solok Selatan,0.0
2018-08-23,ARG Solok Selatan,0.2
2018-08-24,ARG Solok Selatan,2.2
2018-08-25,ARG Solok Selatan,0.0
2018-08-26,ARG Solok Selatan,0.0
2018-08-27,ARG Solok Selatan,2.0
2018-08-28,ARG Solok Selatan,24.599999999999994
2018-08-29,ARG Solok Selatan,0.1999999999999993
2018-08-30,ARG Solok Selatan,0.40000000000000024
2018-08-31,ARG Solok Selatan,4.199999999999999
2018-09-01,ARG Solok Selatan,0.0
2018-09-02,ARG Solok Selatan,0.2
2018-09-03,ARG Solok Selatan,0.0
2018-09-04,ARG Solok Selatan,0.0
2018-09-05,ARG Solok Selatan,0.0
