date,station,rr
2018-09-17,ARG,0.6000000000000001
2018-09-18,ARG,0.8
2018-09-19,ARG,18.200000000000003
2018-09-20,ARG,0.599999999999999
2018-09-21,ARG,54.0
2018-09-22,ARG,12.0
2018-09-23,ARG,34.800000000000004
2018-09-24,ARG,7.8
2018-09-25,ARG,5.0
2018-09-26,ARG,50.6
2018-09-27,ARG,0.0
2018-09-28,ARG,0.0
2018-09-29,ARG,7.6
2018-09-30,ARG,0.0
2018-10-01,ARG,15.199999999999998
2018-10-02,ARG,28.600000000000005
2018-10-03,ARG,8.399999999999999
2018-10-04,ARG,9.599999999999998
2018-10-05,ARG,1.0
2018-10-06,ARG,10.6
2018-10-07,ARG,0.6000000000000001
2018-10-08,ARG,19.0
2018-10-09,ARG,6.400000000000001
2018-10-10,ARG,44.4
2018-10-11,ARG,30.0
2018-10-12,ARG,0.0
2018-10-13,ARG,0.0
2018-10-14,ARG,0.0
2018-10-15,ARG,21.999999999999996
2018-10-16,ARG,6.599999999999999
2018-10-17,ARG,22.799999999999997
2018-10-18,ARG,0.0
2018-10-19,ARG,0.0
2018-10-20,ARG,0.0
2018-10-21,ARG,2.6
2018-10-22,ARG,76.8
2018-10-23,ARG,13.0
2018-10-24,ARG,1.2
2018-10-25,ARG,0.0
2018-10-26,ARG,0.0
2018-10-27,ARG,19.399999999999995
2018-10-28,ARG,11.199999999999998
2018-10-29,ARG,0.4
2018-10-30,ARG,5.2
2018-10-31,ARG,1.4
2018-11-01,ARG,17.6
2018-11-02,ARG,31.8
2018-11-03,ARG,7.599999999999997
2018-11-04,ARG,2.2
2018-11-05,ARG,14.0
2018-11-06,ARG,2.0
2018-11-07,ARG,12.199999999999996
2018-11-08,ARG,0.0
2018-11-09,ARG,3.8000000000000003
2018-11-10,ARG,0.0
2018-11-11,ARG,14.8
2018-11-12,ARG,40.199999999999996
2018-11-13,ARG,7.799999999999998
2018-11-14,ARG,0.0
2018-11-15,ARG,0.0
2018-11-16,ARG,0.0
2018-11-17,ARG,5.800000000000001
2018-11-18,ARG,36.20000000000001
2018-11-19,ARG,3.4000000000000004
2018-11-20,ARG,10.399999999999999
2018-11-21,ARG,47.6
2018-11-22,ARG,8.8
2018-11-23,ARG,0.2
2018-11-24,ARG,2.2
2018-11-25,ARG,0.6000000000000001
2018-11-26,ARG,0.2
2018-11-27,ARG,0.0
2018-11-28,ARG,0.0
2018-11-29,ARG,17.2
2018-11-30,ARG,38.800000000000004
2018-12-01,ARG,0.4
2018-12-02,ARG,3.2
2018-12-03,ARG,1.6
2018-12-04,ARG,0.2
2018-12-05,ARG,8.799999999999997
2018-12-06,ARG,7.399999999999999
2018-12-07,ARG,31.599999999999998
2018-12-08,ARG,0.2
2018-12-09,ARG,14.399999999999999
2018-12-10,ARG,56.199999999999996
2018-12-11,ARG,28.8
2018-12-12,ARG,0.2
2018-12-13,ARG,36.6
2018-12-14,ARG,0.0
2018-12-15,ARG,0.0
2018-12-16,ARG,0.0
2018-12-17,ARG,0.0
2018-12-18,ARG,0.0
2018-12-19,ARG,0.0
2018-12-20,ARG,0.2
2018-12-21,ARG,0.0
2018-12-22,ARG,17.199999999999996
2018-12-23,ARG,0.0
2018-12-24,ARG,0.4
2018-12-25,ARG,0.0
2018-12-26,ARG,0.0
2018-12-27,ARG,0.0
2018-12-28,ARG,0.0
2018-12-29,ARG,0.0
2018-12-30,ARG,7.0
2018-12-31,ARG,0.2
2019-01-01,ARG,6.0
2019-01-02,ARG,22.599999999999998
2019-01-03,ARG,26.0
2019-01-04,ARG,0.0
2019-01-05,ARG,0.0
2019-01-06,ARG,0.0
2019-01-07,ARG,6.1999999999999975
2019-01-08,ARG,0.0
2019-01-09,ARG,0.0
2019-01-10,ARG,13.8
2019-01-11,ARG,19.399999999999995
2019-01-12,ARG,0.0
2019-01-13,ARG,6.0
2019-01-14,ARG,53.400000000000006
2019-01-15,ARG,12.999999999999998
2019-01-16,ARG,0.0
2019-01-17,ARG,0.0
2019-01-18,ARG,33.8
2019-01-19,ARG,9.6
2019-01-20,ARG,46.20000000000001
2019-01-21,ARG,4.2
2019-01-22,ARG,0.0
2019-01-23,ARG,15.799999999999999
2019-01-24,ARG,0.0
2019-01-25,ARG,0.0
2019-01-26,ARG,0.0
2019-01-27,ARG,3.8000000000000003
2019-01-28,ARG,0.0
2019-01-29,ARG,0.0
2019-01-30,ARG,4.3999999999999995
2019-01-31,ARG,0.0
2019-02-01,ARG,0.0
2019-02-02,ARG,0.0
2019-02-03,ARG,19.8
2019-02-04,ARG,0.2
2019-02-05,ARG,0.0
2019-02-06,ARG,73.0
2019-02-07,ARG,0.0
2019-02-08,ARG,0.0
2019-02-09,ARG,32.2
2019-02-10,ARG,0.0
2019-02-11,ARG,0.0
2019-02-12,ARG,0.0
2019-02-13,ARG,0.0
2019-02-14,ARG,0.0
2019-02-15,ARG,0.0
2019-02-16,ARG,0.0
2019-02-17,ARG,0.0
2019-02-18,ARG,0.0
2019-02-19,ARG,0.0
2019-02-20,ARG,0.0
2019-02-21,ARG,0.0
2019-02-22,ARG,0.0
2019-02-23,ARG,0.0
2019-02-24,ARG,0.0
2019-02-25,ARG,0.0
2019-02-26,ARG,0.0
2019-02-27,ARG,0.0
2019-02-28,ARG,0.0
2019-03-01,ARG,47.99999999999999
2019-03-02,ARG,32.4
2019-03-03,ARG,21.8
2019-03-04,ARG,37.6
2019-03-05,ARG,0.0
2019-03-06,ARG,0.0
2019-03-07,ARG,0.0
2019-03-08,ARG,0.0
2019-03-09,ARG,0.0
2019-03-10,ARG,0.0
2019-03-11,ARG,0.0
2019-03-12,ARG,0.0
2019-03-13,ARG,0.0
2019-03-14,ARG,0.0
2019-03-15,ARG,0.0
2019-03-16,ARG,0.0
2019-03-17,ARG,0.0
2019-03-18,ARG,0.0
2019-03-19,ARG,0.0
2019-03-20,ARG,0.0
2019-03-21,ARG,0.0
2019-03-22,ARG,0.0
2019-03-23,ARG,0.0
2019-03-24,ARG,0.0
2019-03-25,ARG,0.0
2019-03-26,ARG,0.0
2019-03-27,ARG,0.0
2019-03-28,ARG,0.0
2019-03-29,ARG,0.0
2019-03-30,ARG,0.0
2019-03-31,ARG,0.0
2019-04-01,ARG,0.0
2019-04-02,ARG,0.0
2019-04-03,ARG,0.0
2019-04-04,ARG,0.0
2019-04-05,ARG,0.0
2019-04-06,ARG,0.0
2019-04-07,ARG,0.0
2019-04-08,ARG,0.0
2019-04-09,ARG,0.0
2019-04-10,ARG,0.0
2019-04-11,ARG,0.0
2019-04-12,ARG,0.0
2019-04-13,ARG,0.0
2019-04-14,ARG,0.0
2019-04-15,ARG,0.0
2019-04-16,ARG,0.0
2019-04-17,ARG,0.0
2019-04-18,ARG,0.0
2019-04-19,ARG,0.0
2019-04-20,ARG,0.0
2019-04-21,ARG,0.0
2019-04-22,ARG,0.0
2019-04-23,ARG,0.0
2019-04-24,ARG,0.0
2019-04-25,ARG,0.0
2019-04-26,ARG,0.0
2019-04-27,ARG,0.0
2019-04-28,ARG,0.0
2019-04-29,ARG,0.0
2019-04-30,ARG,0.0
2019-05-01,ARG,0.0
2019-05-02,ARG,0.0
2019-05-03,ARG,0.0
2019-05-04,ARG,0.0
2019-05-05,ARG,0.0
2019-05-06,ARG,0.0
2019-05-07,ARG,0.0
2019-05-08,ARG,0.0
2019-05-09,ARG,0.0
2019-05-10,ARG,0.0
2019-05-11,ARG,0.0
2019-05-12,ARG,0.0
2019-05-13,ARG,0.0
2019-05-14,ARG,0.0
2019-05-15,ARG,0.0
2019-05-16,ARG,0.0
2019-05-17,ARG,0.0
2019-05-18,ARG,0.0
2019-05-19,ARG,0.0
2019-05-20,ARG,0.0
2019-05-21,ARG,0.0
2019-05-22,ARG,0.0
2019-05-23,ARG,0.0
2019-05-24,ARG,0.0
2019-05-25,ARG,0.0
2019-05-26,ARG,0.0
2019-05-27,ARG,0.0
2019-05-28,ARG,0.0
2019-05-29,ARG,0.0
2019-05-30,ARG,0.0
2019-05-31,ARG,0.0
2019-06-01,ARG,0.0
2019-06-02,ARG,0.0
2019-06-03,ARG,0.0
2019-06-04,ARG,0.0
2019-06-05,ARG,0.0
2019-06-06,ARG,0.0
2019-06-07,ARG,0.0
2019-06-08,ARG,0.0
2019-06-09,ARG,0.0
2019-06-10,ARG,0.0
2019-06-11,ARG,0.0
2019-06-12,ARG,0.0
2019-06-13,ARG,0.0
2019-06-14,ARG,0.0
2019-06-15,ARG,0.0
2019-06-16,ARG,0.0
2019-06-17,ARG,0.0
2019-06-18,ARG,0.0
2019-06-19,ARG,0.0
2019-06-20,ARG,0.0
2019-06-21,ARG,0.0
2019-06-22,ARG,0.0
2019-06-23,ARG,0.0
2019-06-24,ARG,0.0
2019-06-25,ARG,0.0
2019-06-26,ARG,0.0
2019-06-27,ARG,2.2
2019-06-28,ARG,0.0
2019-06-29,ARG,14.4
2019-06-30,ARG,0.0
2019-07-01,ARG,0.0
2019-07-02,ARG,0.0
2019-07-03,ARG,0.0
2019-07-04,ARG,0.0
2019-07-05,ARG,26.199999999999996
2019-07-06,ARG,1.8
2019-07-07,ARG,0.0
2019-07-08,ARG,24.6
2019-07-09,ARG,0.0
2019-07-10,ARG,0.0
2019-07-11,ARG,0.0
2019-07-12,ARG,0.0
2019-07-13,ARG,0.0
2019-07-14,ARG,0.0
2019-07-15,ARG,0.0
2019-07-16,ARG,0.8
2019-07-17,ARG,0.0
2019-07-18,ARG,0.0
2019-07-19,ARG,0.0
